,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Point Shares,Point Shares,Point Shares,Point Shares
Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
1,Nikita Kucherov\kucheni01,25,TBL,RW,1677,98.07,164,3,2,2,0,41,87,128,24,,,,,,12.3,2.3,0.0,14.6
2,Sidney Crosby\crosbsi01,31,PIT,C,739,43.22,3,65,33,26,11,35,65,100,18,,,,,,8.9,2.4,0.0,11.4
3,Connor McDavid\mcdavco01,22,EDM,C,465,27.19,1,35,23,22,29,41,75,116,3,,,,,,10.8,2.1,0.0,13.0
4,Johnny Gaudreau\gaudrjo01,25,CGY,LW,442,25.85,2,23,30,31,18,36,63,99,18,,,,,,8.8,2.1,0.0,10.9
5,Brad Marchand\marchbr03,30,BOS,LW,322,18.83,0,15,32,12,21,36,64,100,15,,,,,,9.2,2.5,0.0,11.7
6,Nathan MacKinnon\mackina01,23,COL,C,265,15.50,1,13,14,24,22,41,58,99,20,,,,,,9.1,2.7,0.0,11.8
7,Alex Ovechkin\ovechal01,33,WSH,LW,213,12.46,0,8,13,25,17,51,38,89,7,,,,,,9.2,1.8,0.0,11.0
8,Patrick Kane\kanepa01,30,CHI,RW,125,7.31,0,4,10,9,20,44,66,110,2,,,,,,10.2,1.6,0.0,11.8
9,Mark Giordano\giordma01,35,CGY,D,66,3.86,0,2,5,7,6,17,57,74,39,,,,,,6.7,5.9,0.0,12.6
10,Sebastian Aho\ahose01,21,CAR,C,21,1.23,0,1,2,1,1,30,53,83,25,,,,,,6.9,2.9,0.0,9.8
10,Jordan Binnington\binnijo01,25,STL,G,21,1.23,0,1,2,1,1,0,0,0,0,24,5,1,1.89,.927,0.0,0.0,6.0,6.0
12,Mark Stone\stonema01,26,TOT,RW,18,1.05,0,0,1,3,4,33,40,73,17,,,,,,6.3,2.4,0.0,8.7
13,Ryan O'Reilly\oreilry01,27,STL,C,15,0.88,0,0,2,1,2,28,49,77,22,,,,,,5.8,3.0,0.0,8.8
14,Steven Stamkos\stamkst01,28,TBL,C,12,0.70,0,1,0,1,2,45,53,98,4,,,,,,10.1,1.4,0.0,11.5
15,Patrice Bergeron\bergepa01,33,BOS,C,8,0.47,0,0,0,2,2,32,47,79,23,,,,,,7.7,2.3,0.0,10.1
16,Aleksander Barkov\barkoal01,23,FLA,C,7,0.41,0,0,0,2,1,35,61,96,-3,,,,,,7.9,2.1,0.0,10.0
17,Marc-Andre Fleury\fleurma01,34,VEG,G,7,0.41,0,0,0,1,4,0,2,2,0,35,21,5,2.51,.913,0.0,0.0,10.3,10.3
17,John Tavares\tavarjo01,28,TOR,C,7,0.41,0,0,0,1,4,47,41,88,19,,,,,,9.3,2.0,0.0,11.3
19,Ben Bishop\bishobe01,32,DAL,G,5,0.29,0,0,1,0,0,0,2,2,0,27,15,2,1.98,.934,0.0,0.0,10.8,10.8
19,Brent Burns\burnsbr01,33,SJS,D/RW,5,0.29,0,0,1,0,0,16,67,83,13,,,,,,7.3,4.7,0.0,12.0
21,Brayden Point\pointbr01,22,TBL,C,3,0.18,0,0,0,0,3,41,51,92,27,,,,,,9.1,2.3,0.0,11.4
22,Darcy Kuemper\kuempda01,28,ARI,G,1,0.06,0,0,0,0,1,0,2,2,0,27,20,8,2.33,.925,0.0,0.0,12.0,12.0
22,Mark Scheifele\scheima01,25,WPG,C,1,0.06,0,0,0,0,1,38,46,84,8,,,,,,7.3,2.2,0.0,9.4
22,Andrei Vasilevskiy\vasilan02,24,TBL,G,1,0.06,0,0,0,0,1,0,3,3,0,39,10,4,2.40,.925,0.0,0.0,12.4,12.4
1,Taylor Hall\hallta02,26,NJD,LW,1264,77.07,72,62,19,4,3,39,54,93,14,,,,,,9.9,2.3,0.0,12.2
2,Nathan MacKinnon\mackina01,22,COL,C,1194,72.80,60,66,19,11,4,39,58,97,11,,,,,,10.0,2.2,0.0,12.2
3,Anze Kopitar\kopitan01,30,LAK,C,551,33.60,11,11,41,49,12,35,57,92,21,,,,,,7.9,3.1,0.0,11.0
4,Claude Giroux\giroucl01,30,PHI,LW,546,33.29,10,10,44,45,21,34,68,102,28,,,,,,9.0,2.8,0.0,11.8
5,Connor McDavid\mcdavco01,21,EDM,C,270,16.46,6,5,19,16,32,41,67,108,20,,,,,,10.5,2.6,0.0,13.1
6,Nikita Kucherov\kucheni01,24,TBL,RW,166,10.12,0,6,8,15,39,39,61,100,15,,,,,,9.8,1.8,0.0,11.6
7,Evgeni Malkin\malkiev01,31,PIT,C,97,5.91,3,2,6,5,8,42,56,98,16,,,,,,10.2,2.2,0.0,12.4
8,Blake Wheeler\wheelbl01,31,WPG,RW,69,4.21,1,2,1,6,22,23,68,91,13,,,,,,7.1,2.1,0.0,9.2
9,Alex Ovechkin\ovechal01,32,WSH,LW,37,2.26,0,0,2,5,12,49,38,87,3,,,,,,9.3,1.9,0.0,11.2
10,William Karlsson\karlswi01,25,VEG,C,32,1.95,1,0,3,2,1,43,35,78,49,,,,,,8.3,3.5,0.0,11.8
11,Brad Marchand\marchbr03,29,BOS,LW,10,0.61,0,0,2,0,0,34,51,85,25,,,,,,8.4,2.5,0.0,11.0
12,Pekka Rinne\rinnepe01,35,NSH,G,9,0.55,0,0,0,2,3,0,1,1,0,42,13,4,2.31,.927,0.0,0.0,13.2,13.2
13,Connor Hellebuyck\helleco01,24,WPG,G,5,0.30,0,0,0,1,2,0,2,2,0,44,11,9,2.36,.924,0.0,0.0,14.0,14.0
14,Artemi Panarin\panarar01,26,CBJ,LW,4,0.24,0,0,0,1,1,27,55,82,23,,,,,,6.8,2.6,0.0,9.4
15,Sergei Bobrovsky\bobrose01,29,CBJ,G,3,0.18,0,0,0,1,0,0,3,3,0,37,22,6,2.42,.921,0.0,0.0,12.9,12.9
15,Drew Doughty\doughdr01,28,LAK,D,3,0.18,0,0,0,1,0,10,50,60,23,,,,,,4.4,7.3,0.0,11.7
17,Patrice Bergeron\bergepa01,32,BOS,C,1,0.06,0,0,0,0,1,30,33,63,21,,,,,,6.0,2.3,0.0,8.3
17,Sidney Crosby\crosbsi01,30,PIT,C,1,0.06,0,0,0,0,1,29,60,89,0,,,,,,7.3,1.8,0.0,9.1
17,Victor Hedman\hedmavi01,27,TBL,D,1,0.06,0,0,0,0,1,17,46,63,32,,,,,,5.7,5.2,0.0,11.0
17,Eric Staal\staaler01,33,MIN,C,1,0.06,0,0,0,0,1,42,34,76,8,,,,,,8.0,1.8,0.0,9.8
1,Connor McDavid\mcdavco01,20,EDM,C,1604,96.05,147,17,3,0,0,30,70,100,27,,,,,,9.7,3.0,0.0,12.8
2,Sidney Crosby\crosbsi01,29,PIT,C,1104,66.11,14,119,19,11,3,44,45,89,17,,,,,,10.5,1.7,0.0,12.3
3,Sergei Bobrovsky\bobrose01,28,CBJ,G,469,28.08,4,17,40,29,23,0,0,0,0,41,17,5,2.06,.931,0.0,0.0,14.9,14.9
